timestamp,frame_idx,location_bbox,detected_condition,confidence_score,risk_level
00:00:03,62,"[195, 182, 52, 24]",Spatio-Temporal Crowd Motion Outlier,0.0315,HIGH RISK
00:00:05,104,"[139, 150, 181, 65]",Spatio-Temporal Crowd Motion Outlier,0.0311,HIGH RISK
00:00:05,114,"[0, 164, 58, 44]",Spatio-Temporal Crowd Motion Outlier,0.0322,HIGH RISK
00:00:06,124,"[273, 175, 47, 39]",Spatio-Temporal Crowd Motion Outlier,0.0328,HIGH RISK
00:00:07,140,"[231, 161, 57, 45]",Spatio-Temporal Crowd Motion Outlier,0.0311,HIGH RISK
00:00:09,180,"[162, 171, 51, 39]",Spatio-Temporal Crowd Motion Outlier,0.0331,HIGH RISK
00:00:09,194,"[204, 181, 33, 25]",Spatio-Temporal Crowd Motion Outlier,0.0318,HIGH RISK
00:00:10,212,"[0, 184, 39, 22]",Spatio-Temporal Crowd Motion Outlier,0.0314,HIGH RISK
00:00:11,226,"[36, 173, 50, 37]",Spatio-Temporal Crowd Motion Outlier,0.0331,HIGH RISK
00:00:11,236,"[52, 179, 102, 25]",Spatio-Temporal Crowd Motion Outlier,0.0312,HIGH RISK
00:00:00,0,"[64, 69, 13, 15]",Spatio-Temporal Crowd Motion Outlier,0.3493,HIGH RISK
00:00:00,10,"[91, 50, 48, 26]",Spatio-Temporal Crowd Motion Outlier,0.3435,HIGH RISK
00:00:01,20,"[118, 49, 42, 32]",Spatio-Temporal Crowd Motion Outlier,0.3479,HIGH RISK
00:00:01,30,"[141, 59, 19, 20]",Spatio-Temporal Crowd Motion Outlier,0.3584,HIGH RISK
00:00:02,40,"[20, 38, 107, 46]",Spatio-Temporal Crowd Motion Outlier,0.3574,HIGH RISK
00:00:02,50,"[34, 39, 126, 43]",Spatio-Temporal Crowd Motion Outlier,0.3587,HIGH RISK
00:00:00,0,"[41, 187, 30, 19]",Spatio-Temporal Crowd Motion Outlier,0.2984,HIGH RISK
00:00:00,10,"[0, 160, 25, 40]",Spatio-Temporal Crowd Motion Outlier,0.2929,HIGH RISK
00:00:01,20,"[157, 119, 43, 33]",Spatio-Temporal Crowd Motion Outlier,0.3005,HIGH RISK
00:00:01,30,"[130, 187, 56, 20]",Spatio-Temporal Crowd Motion Outlier,0.2971,HIGH RISK
00:00:02,40,"[158, 184, 39, 23]",Spatio-Temporal Crowd Motion Outlier,0.3012,HIGH RISK
00:00:02,50,"[247, 151, 28, 20]",Spatio-Temporal Crowd Motion Outlier,0.2966,HIGH RISK
00:00:03,60,"[194, 183, 48, 22]",Spatio-Temporal Crowd Motion Outlier,0.2990,HIGH RISK
00:00:03,70,"[174, 174, 27, 24]",Spatio-Temporal Crowd Motion Outlier,0.2980,HIGH RISK
00:00:04,80,"[160, 152, 128, 58]",Spatio-Temporal Crowd Motion Outlier,0.3019,HIGH RISK
00:00:04,90,"[189, 156, 131, 56]",Spatio-Temporal Crowd Motion Outlier,0.2941,HIGH RISK
00:00:05,100,"[269, 173, 51, 43]",Spatio-Temporal Crowd Motion Outlier,0.2963,HIGH RISK
00:00:05,110,"[219, 176, 101, 36]",Spatio-Temporal Crowd Motion Outlier,0.3040,HIGH RISK
00:00:06,120,"[187, 183, 133, 25]",Spatio-Temporal Crowd Motion Outlier,0.2982,HIGH RISK
00:00:06,130,"[240, 174, 80, 40]",Spatio-Temporal Crowd Motion Outlier,0.3003,HIGH RISK
00:00:07,140,"[89, 171, 39, 29]",Spatio-Temporal Crowd Motion Outlier,0.2975,HIGH RISK
00:00:07,150,"[84, 175, 53, 33]",Spatio-Temporal Crowd Motion Outlier,0.2933,HIGH RISK
00:00:08,160,"[122, 162, 72, 47]",Spatio-Temporal Crowd Motion Outlier,0.3025,HIGH RISK
00:00:08,170,"[122, 178, 38, 25]",Spatio-Temporal Crowd Motion Outlier,0.2921,HIGH RISK
00:00:09,180,"[164, 173, 45, 36]",Spatio-Temporal Crowd Motion Outlier,0.3025,HIGH RISK
00:00:09,190,"[214, 35, 106, 80]",Spatio-Temporal Crowd Motion Outlier,0.2996,HIGH RISK
00:00:10,200,"[201, 178, 33, 28]",Spatio-Temporal Crowd Motion Outlier,0.2998,HIGH RISK
00:00:10,210,"[0, 183, 36, 25]",Spatio-Temporal Crowd Motion Outlier,0.2985,HIGH RISK
00:00:11,220,"[238, 184, 42, 29]",Spatio-Temporal Crowd Motion Outlier,0.2954,HIGH RISK
00:00:11,230,"[282, 182, 38, 26]",Spatio-Temporal Crowd Motion Outlier,0.3056,HIGH RISK
00:00:00,0,"[285, 123, 35, 25]",Spatio-Temporal Crowd Motion Outlier,0.3018,HIGH RISK
00:00:00,10,"[0, 162, 24, 38]",Spatio-Temporal Crowd Motion Outlier,0.2942,HIGH RISK
00:00:01,20,"[124, 186, 33, 18]",Spatio-Temporal Crowd Motion Outlier,0.2986,HIGH RISK
00:00:01,30,"[131, 187, 55, 20]",Spatio-Temporal Crowd Motion Outlier,0.2980,HIGH RISK
00:00:02,40,"[158, 184, 39, 23]",Spatio-Temporal Crowd Motion Outlier,0.3008,HIGH RISK
00:00:02,50,"[240, 147, 41, 30]",Spatio-Temporal Crowd Motion Outlier,0.2974,HIGH RISK
00:00:03,60,"[286, 145, 34, 34]",Spatio-Temporal Crowd Motion Outlier,0.2973,HIGH RISK
00:00:03,70,"[174, 174, 28, 24]",Spatio-Temporal Crowd Motion Outlier,0.2979,HIGH RISK
00:00:04,80,"[229, 181, 60, 29]",Spatio-Temporal Crowd Motion Outlier,0.3026,HIGH RISK
00:00:04,90,"[191, 157, 129, 54]",Spatio-Temporal Crowd Motion Outlier,0.2940,HIGH RISK
00:00:05,100,"[270, 173, 50, 46]",Spatio-Temporal Crowd Motion Outlier,0.2970,HIGH RISK
00:00:05,110,"[218, 179, 102, 33]",Spatio-Temporal Crowd Motion Outlier,0.3000,HIGH RISK
00:00:06,120,"[213, 183, 107, 24]",Spatio-Temporal Crowd Motion Outlier,0.2993,HIGH RISK
